Oid,Sediment.Y [mm],HSI_depth,Rmean,RABD845,RABD655-685max
21074,1264.44,1264.44,0.15406919,0.992493957,1.424120268
21075,1264.5,1264.5,0.160173507,0.99099405,1.398220581
21076,1264.56,1264.56,0.166497963,0.986790613,1.365733084
21077,1264.62,1264.62,0.171607867,0.98854188,1.336408303
21078,1264.68,1264.68,0.175443374,0.9877649,1.302436857
21079,1264.74,1264.74,0.179801088,0.985182135,1.267082449
21080,1264.8,1264.8,0.180814331,0.988368104,1.244495188
21081,1264.86,1264.86,0.176949662,0.98691014,1.245506876
21082,1264.92,1264.92,0.16971845,0.989129233,1.254859935
21083,1264.98,1264.98,0.161079627,0.989124098,1.260396393
21084,1265.04,1265.04,0.152607269,0.991699945,1.262999023
21085,1265.1,1265.1,0.145539235,0.994443527,1.254421995
21086,1265.16,1265.16,0.14325927,0.990929725,1.22671405
21087,1265.22,1265.22,0.148308534,0.989659067,1.180883685
21088,1265.28,1265.28,0.159928381,0.988869164,1.1299932
21089,1265.34,1265.34,0.170360721,0.989358527,1.102400639
21090,1265.4,1265.4,0.175372114,0.992629889,1.090997114
21091,1265.46,1265.46,0.169828279,0.993623339,1.091305436
21092,1265.52,1265.52,0.159540958,0.992682969,1.102378565
21093,1265.58,1265.58,0.146510798,0.994817278,1.101261293
21094,1265.64,1265.64,0.138073359,0.998257975,1.106704179
21095,1265.7,1265.7,0.135524443,0.996129187,1.09875786
21096,1265.76,1265.76,0.134203877,0.993530557,1.10210303
21097,1265.82,1265.82,0.13421262,0.993751475,1.09556237
21098,1265.88,1265.88,0.13388256,0.996441552,1.099803367
21099,1265.94,1265.94,0.133765868,0.992844196,1.103703481
21100,1266,1266,0.131254446,0.991635915,1.101549334
21101,1266.06,1266.06,0.129110751,0.99671615,1.105219277
21102,1266.12,1266.12,0.125776952,0.993544447,1.113257489
21103,1266.18,1266.18,0.12119105,0.994739271,1.124252428
21104,1266.24,1266.24,0.120508504,0.995850702,1.122614892
21105,1266.3,1266.3,0.120803744,0.995834638,1.13868963
21106,1266.36,1266.36,0.123864071,0.996991801,1.135316617
21107,1266.42,1266.42,0.130210718,0.991296041,1.133563424
21108,1266.48,1266.48,0.14055389,0.991212862,1.119810532
21109,1266.54,1266.54,0.152416074,0.993178305,1.095706586
21110,1266.6,1266.6,0.161117684,0.991089176,1.084727287
21111,1266.66,1266.66,0.160115784,0.993864536,1.084710493
21112,1266.72,1266.72,0.15093138,0.994232507,1.105639184
21113,1266.78,1266.78,0.139895004,0.996324087,1.113367021
21114,1266.84,1266.84,0.131892483,0.995179055,1.1223741
21115,1266.9,1266.9,0.125972288,0.994694978,1.12437623
21116,1266.96,1266.96,0.118222161,0.997541152,1.121589899
21117,1267.02,1267.02,0.111051191,0.995285195,1.127193255
21118,1267.08,1267.08,0.103191326,1.000181254,1.148189478
21119,1267.14,1267.14,0.095094317,0.998499872,1.162374865
21120,1267.2,1267.2,0.088149764,1.001428345,1.185407421
21121,1267.26,1267.26,0.08443184,0.998939786,1.204977351
21122,1267.32,1267.32,0.08352932,1.003933069,1.208942196
21123,1267.38,1267.38,0.085301141,1.0021367,1.215586662
21124,1267.44,1267.44,0.088087683,0.998139572,1.205048358
21125,1267.5,1267.5,0.092166339,0.998510485,1.223045577
21126,1267.56,1267.56,0.095702154,0.9967221,1.247499729
21127,1267.62,1267.62,0.098890905,0.995499718,1.269599802
21128,1267.68,1267.68,0.101754072,0.995173097,1.278134153
21129,1267.74,1267.74,0.105208022,0.993206142,1.275199704
21130,1267.8,1267.8,0.109189484,0.993310364,1.269957202
21131,1267.86,1267.86,0.116029646,0.992111399,1.251586939
21132,1267.92,1267.92,0.12166347,0.992649217,1.224990582
21133,1267.98,1267.98,0.127712217,0.990133335,1.208841955
21134,1268.04,1268.04,0.132396425,0.988394159,1.205136822
21135,1268.1,1268.1,0.136353302,0.990128994,1.2063955
21136,1268.16,1268.16,0.138383352,0.990596638,1.209705956
21137,1268.22,1268.22,0.139049055,0.993294977,1.216327829
21138,1268.28,1268.28,0.134235819,0.992143754,1.23231412
21139,1268.34,1268.34,0.131505838,0.992555992,1.250110037
21140,1268.4,1268.4,0.131089901,0.991998467,1.251498938
21141,1268.46,1268.46,0.133847189,0.991599498,1.248565677
